,Index,Address,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
9,10,0x0012f247c9f980eea0a9ad06893bfd95c3145794,2570.59,3336.01,30572.7,8,3,0,2,4,0.1,40,16.7,0.1,40,18.634625,0,0,0,11,149.077,50.1,0,-98.977,1,600,0,0,0,1,0,1,0,0,0,0,600,600,600,0,0,0,0,0,0,0,1,None,AICRYPTO
10,11,0x0013e58a315d2e728f11630aa40abfbdddcab304,32.45,12921.57,129540.15,10,10,0,2,1,1.000052,1.014875,1.004819,0.999088,1.01417,1.004055,0,0,0,20,10.04055439,10.04819041,0,0.007636018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,0x0033fd555da940b923a7f6f465cc4d9088724263,155.22,112602.93,338429.65,4,3,0,3,3,0,2.337156,1.512385,2,2.379635,2.104909,0,0,0,7,8.419634776,4.5371564000000015,0,-3.882478376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,50,0x005d3bffd33b1a012279d25d30f75133584404db,181.7,56819.72,286279.03,12,5,0,5,7,0,174.995,63.085,0.1,225,59.51666700000001,0,0,0,17,714.2,315.425,0,-398.775,11,255.2313319,0,0,0,9,0,10,0,0,0,0,0,219.313921,23.202848,0,0,0,0,0,0,0,10,None,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
53,54,0x006aaaff2ff3358bc8453febaba4e236b028df80,1969.46,288.59,97419.95,48,10,0,4,13,0.09,99.99,25.810391,0,100,6.758479,0,0,0,58,324.407,258.1039104,0,-66.3030896,27,406.7725702,0.000150816,0,2,6,0,10,0,0,0,0,0,365,20.338629,0,5.400000000000001e-05,2.2e-05,0,0,0,2,9,FunFair,FunFair
56,57,0x0071c78d72b78818b0d507c114674a7ce6bc4f18,8174.66,3.43,24534.25,3,3,0,1,1,0.001,0.34,0.147,0.01,0.379654,0.146551,0,0,0,6,0.439653612,0.441,0,0.001346388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,62,0x007bb0518b03f1a8c00e9bb545640800d1e91444,7750.02,59605.36,531093.05,7,8,0,2,5,0.545459,27.48646,6.1445940000000006,0,5.693,1.013286,0,0,0,15,7.093,49.1567487,0,42.06374870000001,18,2640.39347,424.4909721,0,2,12,0,15,0,0,0,0,0,1064.624532,165.02459199999996,0,424.490972,212.245486,0,0,0,2,15,Golem,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
62,63,0x007cafba4edd0e25a664530e3cac0ffadb101fd8,621.07,5012.75,93911.63,14,17,4,9,10,0.5,379,39.759632,0,330.62347,48.273105,0,0,0,35,675.82347,675.9137486000002,0,0.090278633,3,0.002407524,0,0,0,2,0,2,0,0,0,0,0,0.002407,0.000803,0,0,0,0,0,0,0,1,None,iEx.ec Network Token
63,64,0x0080214c803a073c18aaadd7b99cfd08c3945b09,13243.1,38530.77,414518.23,9,8,0,5,6,0,1.169147,0.270796,0,1.716638,0.421015,0,0,0,17,3.789138127,2.16637118,0,-1.622766947,19,320.9921798,6.15e-08,0,1,5,0,5,0,0,0,0,0,313,17.832898999999994,0,0,0,0,0,0,1,5,AION,AION
86,87,0x00ca022d429d853c3f28070b410b13bc4438926b,0,0,2250.73,1,1,0,1,1,0.86761,0.86761,0.86761,0.8669899999999999,0.8669899999999999,0.8669899999999999,0,0,0,2,0.8669901309999999,0.867610131,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
